entity,code,disaster_type,total_people_affected,years_recorded,impact_share,historical_impact_score
Afghanistan,AFG,Drought,31058000.0,15,80.55554640551156,80.55554640551156
Afghanistan,AFG,Earthquake,4092008.0,28,10.61349540652085,10.61349540652085
Afghanistan,AFG,Flood,2329914.0,38,6.043128834691578,6.043128834691578
Afghanistan,AFG,Extreme temperature,698374.0,8,1.8113819037092769,1.8113819037092769
Afghanistan,AFG,Landslide,337270.0,20,0.8747816709442617,0.8747816709442617
Afghanistan,AFG,Extreme weather,39197.0,7,0.10166577862247526,0.10166577862247526
Afghanistan,AFG,Wildfire,0.0,1,0.0,0.0
Albania,ALB,Drought,3200000.0,3,72.87281962246414,72.87281962246414
Albania,ALB,Extreme weather,525840.0,3,11.97482608446142,11.97482608446142
Albania,ALB,Extreme temperature,237235.0,7,5.402494800979775,5.402494800979775
Albania,ALB,Earthquake,219566.0,13,5.000122972883113,5.000122972883113
Albania,ALB,Flood,208470.0,14,4.747436470842219,4.747436470842219
Albania,ALB,Wildfire,75.0,1,0.0017079567099015033,0.0017079567099015033
Albania,ALB,Landslide,26.0,1,0.0005920916594325212,0.0005920916594325212
Algeria,DZA,Earthquake,1387704.0,19,54.379417310763934,54.379417310763934
Algeria,DZA,Flood,824058.0,37,32.292040572249924,32.292040572249924
Algeria,DZA,Extreme temperature,250025.0,3,9.797632501688943,9.797632501688943
Algeria,DZA,Wildfire,79297.0,5,3.107380719873725,3.107380719873725
Algeria,DZA,Extreme weather,10112.0,3,0.39625501392692164,0.39625501392692164
Algeria,DZA,Landslide,696.0,1,0.02727388149655236,0.02727388149655236
American Samoa,ASM,Extreme weather,23060.0,4,90.20850447912999,90.20850447912999
American Samoa,ASM,Earthquake,2500.0,1,9.779759809099088,9.779759809099088
American Samoa,ASM,Flood,3.0,1,0.011735711770918906,0.011735711770918906
Angola,AGO,Drought,10307216.0,19,87.64068598933096,87.64068598933096
Angola,AGO,Flood,1453550.0,22,12.359314010669033,12.359314010669033
Angola,AGO,Landslide,0.0,1,0.0,0.0
Anguilla,AIA,Extreme weather,16400.0,5,100.0,100.0
Anguilla,AIA,Drought,0.0,5,0.0,0.0
Antigua and Barbuda,ATG,Drought,75000.0,1,58.909467929685654,58.909467929685654
Antigua and Barbuda,ATG,Extreme weather,52314.0,11,41.09053207031434,41.09053207031434
Argentina,ARG,Flood,15161092.0,42,92.38906082619731,92.38906082619731
Argentina,ARG,Extreme weather,560974.0,23,3.4184781022313704,3.4184781022313704
Argentina,ARG,Wildfire,280344.0,9,1.7083676339579932,1.7083676339579932
Argentina,ARG,Earthquake,242879.0,6,1.4800624324689788,1.4800624324689788
Argentina,ARG,Volcanic activity,66200.0,4,0.4034112995748764,0.4034112995748764
Argentina,ARG,Drought,35032.0,6,0.21347892215569592,0.21347892215569592
Argentina,ARG,Landslide,35030.0,5,0.21346673450314077,0.21346673450314077
Argentina,ARG,Extreme temperature,28500.0,8,0.1736740489106341,0.1736740489106341
Armenia,ARM,Drought,297000.0,1,64.7398743130925,64.7398743130925
Armenia,ARM,Extreme weather,126436.0,6,27.56044023114533,27.56044023114533
Armenia,ARM,Earthquake,15000.0,2,3.2696906218733583,3.2696906218733583
Armenia,ARM,Extreme temperature,12000.0,2,2.6157524974986868,2.6157524974986868
Armenia,ARM,Flood,7573.0,4,1.6507578052964629,1.6507578052964629
Armenia,ARM,Landslide,750.0,1,0.16348453109366792,0.16348453109366792
Australia,AUS,Drought,7080000.0,17,42.50588268208277,42.50588268208277
Australia,AUS,Extreme temperature,4602784.0,7,27.633530609458713,27.633530609458713
Australia,AUS,Extreme weather,4244261.0,41,25.481081940415155,25.481081940415155
Australia,AUS,Flood,616524.0,39,3.7013978551819773,3.7013978551819773
Australia,AUS,Wildfire,101418.0,28,0.6088787584535976,0.6088787584535976
Australia,AUS,Earthquake,11430.0,3,0.06862178517743024,0.06862178517743024
Australia,AUS,Landslide,101.0,2,0.0006063692303517459,0.0006063692303517459
Austria,AUT,Flood,62096.0,15,82.42211869018702,82.42211869018702
Austria,AUT,Landslide,10380.0,8,13.777724684426392,13.777724684426392
Austria,AUT,Extreme weather,2863.0,15,3.800156625386586,3.800156625386586
Austria,AUT,Earthquake,0.0,1,0.0,0.0
Austria,AUT,Extreme temperature,0.0,10,0.0,0.0
